YEAR,state,county,MOVEDNET,FROMABROAD,POP1YR,TODIFFSTATE,FROMDIFFSTATE,POP1YRAGO
2010,12,51,309.0,1605,38366,520,231,36255
2010,12,53,6878.0,681,168746,3927,6572,163725
2010,12,55,839.0,377,97619,2207,2525,96742
2010,12,57,-4074.0,9245,1184819,35313,33870,1184322
2010,12,59,217.0,4,19829,333,605,19614
2010,12,61,1020.0,847,134264,3731,3650,132753
2010,12,63,2846.0,96,48824,968,1216,45997
2010,12,65,-812.0,46,14424,206,105,15217
2010,12,67,-23.0,0,8418,14,33,8435
2010,12,69,5955.0,1329,288384,8094,9516,283235
2010,12,71,17720.0,4333,599774,16106,24099,583958
2010,12,73,7257.0,1382,267542,7621,7661,259497
2010,12,75,1342.0,304,39946,587,669,38558
2010,12,77,218.0,0,8185,201,148,7979
2010,12,79,814.0,100,19025,304,143,18120
2010,12,81,4587.0,1726,314576,8224,10489,310945
2010,12,83,10542.0,1238,323624,6628,9459,314640
2010,12,85,2322.0,901,143061,3263,4340,141287
2010,12,86,-40458.0,36529,2415725,45882,27937,2422168
2010,12,87,-1534.0,482,72225,4081,2698,73768
2010,12,89,412.0,138,70500,2139,1756,69851
2010,12,91,-83.0,1676,179347,10671,12337,177871
2010,12,93,-1822.0,390,39346,1412,586,40799
2010,12,95,-4015.0,13819,1100858,35839,31596,1097838
2010,12,97,4550.0,3158,255400,7571,8413,251175
2010,12,99,6987.0,11445,1285737,29838,33147,1276226
2010,12,101,15816.0,1962,451811,9057,14444,438397
2010,12,103,1451.0,6155,909851,20769,24133,907489
2010,12,105,10249.0,4439,581849,14409,18075,571376
2010,12,107,-1220.0,333,73761,1894,1245,74625
2010,12,109,8710.0,1037,178998,4310,9024,171493
2010,12,111,5744.0,1100,266746,6202,7487,261906
2010,12,113,1706.0,772,146285,6518,8144,143595
2010,12,115,4830.0,2269,373159,10268,12780,369201
2010,12,117,1459.0,2508,412506,10244,9837,410241
2010,12,119,2470.0,709,85586,2109,3853,83393
2010,12,121,314.0,51,40163,553,647,39819
2010,12,123,-7.0,15,21695,176,258,21783
2010,12,125,-265.0,47,15176,63,274,15409
2010,12,127,6429.0,3175,491373,13698,15951,484450
2010,12,129,141.0,30,28999,464,262,28869
2010,12,131,3006.0,150,52748,1685,2877,49814
2010,12,133,-85.0,0,23844,229,345,23975
2010,13,1,-989.0,18,17778,205,125,18815
2010,13,3,-156.0,18,8208,164,191,8423
2010,13,5,892.0,0,10883,28,401,9991
2010,13,7,-226.0,0,3563,64,0,3789
2010,13,9,-452.0,173,46205,413,519,46458
2010,13,11,109.0,14,17697,141,192,17602
2010,13,13,333.0,119,65105,1116,1402,64975
2010,13,15,46.0,428,96279,2345,1635,96027
2010,13,17,207.0,36,17346,539,380,17103
2010,13,19,-383.0,117,18469,222,202,18735
2010,13,21,807.0,802,152711,3051,3205,151189
2010,13,23,539.0,42,12829,58,98,12248
2010,13,25,47.0,0,17562,259,421,17376
2010,13,27,716.0,34,16113,49,211,15357
2010,13,29,856.0,196,28750,1149,1890,28003
2010,13,31,4211.0,171,66421,1103,1048,62128
2010,13,33,-220.0,31,22747,529,195,22913
2010,13,35,154.0,29,23016,224,203,22822
2010,13,37,301.0,0,6406,93,50,6105
2010,13,39,-193.0,348,48425,3827,3185,48473
2010,13,43,-25.0,33,10475,85,188,10465
2010,13,45,359.0,489,107535,2182,2732,106856
2010,13,47,385.0,56,62335,2299,2729,61806
2010,13,49,301.0,0,12159,465,974,11864
2010,13,51,-4761.0,1498,252594,11261,8236,255645
2010,13,53,1890.0,996,11666,2480,3848,9364
2010,13,55,-334.0,14,25608,247,390,25928
2010,13,57,2909.0,954,203663,3802,4978,200078
