YEAR,state,county,PAYQTR1,EMP,ESTAB,PAYANN
2009,12,47,40515,2566,191,122587
2009,12,49,30420,4208,383,123469
2009,12,51,40760,5673,558,164727
2009,12,53,190149,28374,2923,786793
2009,12,55,128029,19112,1999,515193
2009,12,57,5296710,490900,31710,20646565
2009,12,59,11064,2030,301,45121
2009,12,61,300023,37847,3874,1252487
2009,12,63,55419,8982,835,233540
2009,12,65,10078,1789,262,40123
2009,12,67,3729,753,95,15275
2009,12,69,478660,66820,6287,1965106
2009,12,71,1419375,169998,15593,5602034
2009,12,73,767977,90997,7461,3215197
2009,12,75,33550,5456,738,133836
2009,12,77,5385,775,76,23256
2009,12,79,16517,2819,309,68769
2009,12,81,654381,81154,7468,2607840
2009,12,83,589684,76897,6890,2348959
2009,12,85,394309,48466,5004,1596588
2009,12,86,8225430,808269,72673,32730220
2009,12,87,195071,25940,3456,774309
2009,12,89,108663,14525,1612,451687
2009,12,91,470249,57415,5005,1949217
2009,12,93,46309,6762,768,189035
2009,12,95,5748938,592186,31481,22859932
2009,12,97,425915,60610,4766,1710327
2009,12,99,4527177,436599,41763,17875601
2009,12,101,538540,77194,8237,2196189
2009,12,103,3185633,354914,26506,13462853
2009,12,105,1384672,163343,10995,5570462
2009,12,107,104412,13563,1295,412039
2009,12,109,337070,44374,4958,1386012
2009,12,111,403223,51912,4858,1606981
2009,12,113,148350,20786,2453,630979
2009,12,115,1064188,121767,12432,4186675
2009,12,117,1345328,148232,12632,5371030
2009,12,119,98855,14695,1091,427854
2009,12,121,50431,8352,679,203992
2009,12,123,37533,4935,404,156341
2009,12,125,12851,1728,134,54224
2009,12,127,929439,129006,11881,3809432
2009,12,129,22639,3179,402,90705
2009,12,131,97543,15377,1683,418898
2009,12,133,21285,3460,372,87413
2009,12,999,7267687,846825,530,29150461
2009,13,1,60296,5360,386,204058
2009,13,3,7767,1278,92,32395
2009,13,5,17407,2704,222,72881
2009,13,7,2252,251,30,7979
2009,13,9,88846,13341,816,368547
2009,13,11,19093,3489,286,80493
2009,13,13,91050,12167,1038,379547
2009,13,15,220938,27795,1905,910208
2009,13,17,33510,5431,347,142349
2009,13,19,27595,3743,289,99797
2009,13,21,612728,72155,4271,2465177
