2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
DP04_0109PE,DP04_0109PE,DP04_0109PE,DP04_0109PE,DP04_0109PE,DP04_0109PE,DP04_0111PE,DP04_0111PE,DP04_0111PE,DP04_0111PE,DP04_0111PE
DP04_0110PE,DP04_0110PE,DP04_0110PE,DP04_0110PE,DP04_0110PE,DP04_0110PE,DP04_0112PE,DP04_0112PE,DP04_0112PE,DP04_0112PE,DP04_0112PE
DP04_0111PE,DP04_0111PE,DP04_0111PE,DP04_0111PE,DP04_0111PE,DP04_0111PE,DP04_0113PE,DP04_0113PE,DP04_0113PE,DP04_0113PE,DP04_0113PE
DP04_0112PE,DP04_0112PE,DP04_0112PE,DP04_0112PE,DP04_0112PE,DP04_0112PE,DP04_0114PE,DP04_0114PE,DP04_0114PE,DP04_0114PE,DP04_0114PE
DP04_0113PE,DP04_0113PE,DP04_0113PE,DP04_0113PE,DP04_0113PE,DP04_0113PE,DP04_0115PE,DP04_0115PE,DP04_0115PE,DP04_0115PE,DP04_0115PE
DP04_0114PE,DP04_0114PE,DP04_0114PE,DP04_0114PE,DP04_0114PE,DP04_0114PE,DP04_0116PE,DP04_0116PE,DP04_0116PE,DP04_0116PE,DP04_0116PE
DP04_0115PE,DP04_0115PE,DP04_0115PE,DP04_0115PE,DP04_0115PE,DP04_0115PE,DP04_0117PE,DP04_0117PE,DP04_0117PE,DP04_0117PE,DP04_0117PE
DP04_0116PE,DP04_0116PE,DP04_0116PE,DP04_0116PE,DP04_0116PE,DP04_0116PE,DP04_0118PE,DP04_0118PE,DP04_0118PE,DP04_0118PE,DP04_0118PE
DP04_0117PE,DP04_0117PE,DP04_0117PE,DP04_0117PE,DP04_0117PE,DP04_0117PE,DP04_0119PE,DP04_0119PE,DP04_0119PE,DP04_0119PE,DP04_0119PE
DP04_0118PE,DP04_0118PE,DP04_0118PE,DP04_0118PE,DP04_0118PE,DP04_0118PE,DP04_0120PE,DP04_0120PE,DP04_0120PE,DP04_0120PE,DP04_0120PE
DP04_0119PE,DP04_0119PE,DP04_0119PE,DP04_0119PE,DP04_0119PE,DP04_0119PE,DP04_0121PE,DP04_0121PE,DP04_0121PE,DP04_0121PE,DP04_0121PE
DP04_0120PE,DP04_0120PE,DP04_0120PE,DP04_0120PE,DP04_0120PE,DP04_0120PE,DP04_0122PE,DP04_0122PE,DP04_0122PE,DP04_0122PE,DP04_0122PE
DP04_0121PE,DP04_0121PE,DP04_0121PE,DP04_0121PE,DP04_0121PE,DP04_0121PE,DP04_0123PE,DP04_0123PE,DP04_0123PE,DP04_0123PE,DP04_0123PE
DP04_0122PE,DP04_0122PE,DP04_0122PE,DP04_0122PE,DP04_0122PE,DP04_0122PE,DP04_0124PE,DP04_0124PE,DP04_0124PE,DP04_0124PE,DP04_0124PE
DP04_0134E,DP04_0134E,DP04_0134E,DP04_0134E,DP04_0134E,DP04_0134E,DP04_0136E,DP04_0136E,DP04_0136E,DP04_0136E,DP04_0136E
DP04_0135PE,DP04_0135PE,DP04_0135PE,DP04_0135PE,DP04_0135PE,DP04_0135PE,DP04_0137PE,DP04_0137PE,DP04_0137PE,DP04_0137PE,DP04_0137PE
DP04_0136PE,DP04_0136PE,DP04_0136PE,DP04_0136PE,DP04_0136PE,DP04_0136PE,DP04_0138PE,DP04_0138PE,DP04_0138PE,DP04_0138PE,DP04_0138PE
DP04_0137PE,DP04_0137PE,DP04_0137PE,DP04_0137PE,DP04_0137PE,DP04_0137PE,DP04_0139PE,DP04_0139PE,DP04_0139PE,DP04_0139PE,DP04_0139PE
DP04_0138PE,DP04_0138PE,DP04_0138PE,DP04_0138PE,DP04_0138PE,DP04_0138PE,DP04_0140PE,DP04_0140PE,DP04_0140PE,DP04_0140PE,DP04_0140PE
DP04_0139PE,DP04_0139PE,DP04_0139PE,DP04_0139PE,DP04_0139PE,DP04_0139PE,DP04_0141PE,DP04_0141PE,DP04_0141PE,DP04_0141PE,DP04_0141PE
DP04_0140PE,DP04_0140PE,DP04_0140PE,DP04_0140PE,DP04_0140PE,DP04_0140PE,DP04_0142PE,DP04_0142PE,DP04_0142PE,DP04_0142PE,DP04_0142PE
DP05_0001E,DP05_0001E,DP05_0001E,DP05_0001E,DP05_0001E,DP05_0001E,DP05_0001E,DP05_0001E,DP05_0001E,DP05_0001E,DP05_0001E
DP05_0003E,DP05_0003E,DP05_0003E,DP05_0003E,DP05_0003E,DP05_0003E,DP05_0003E,DP05_0003E,DP05_0003E,DP05_0003E,DP05_0003E
DP05_0004PE,DP05_0004PE,DP05_0004PE,DP05_0004PE,DP05_0004PE,DP05_0004PE,DP05_0004PE,DP05_0004PE,DP05_0005PE,DP05_0005PE,DP05_0005PE
DP05_0005PE,DP05_0005PE,DP05_0005PE,DP05_0005PE,DP05_0005PE,DP05_0005PE,DP05_0005PE,DP05_0005PE,DP05_0006PE,DP05_0006PE,DP05_0006PE
DP05_0006PE,DP05_0006PE,DP05_0006PE,DP05_0006PE,DP05_0006PE,DP05_0006PE,DP05_0006PE,DP05_0006PE,DP05_0007PE,DP05_0007PE,DP05_0007PE
DP05_0007PE,DP05_0007PE,DP05_0007PE,DP05_0007PE,DP05_0007PE,DP05_0007PE,DP05_0007PE,DP05_0007PE,DP05_0008PE,DP05_0008PE,DP05_0008PE
DP05_0008PE,DP05_0008PE,DP05_0008PE,DP05_0008PE,DP05_0008PE,DP05_0008PE,DP05_0008PE,DP05_0008PE,DP05_0009PE,DP05_0009PE,DP05_0009PE
DP05_0009PE,DP05_0009PE,DP05_0009PE,DP05_0009PE,DP05_0009PE,DP05_0009PE,DP05_0009PE,DP05_0009PE,DP05_0010PE,DP05_0010PE,DP05_0010PE
DP05_0010PE,DP05_0010PE,DP05_0010PE,DP05_0010PE,DP05_0010PE,DP05_0010PE,DP05_0010PE,DP05_0010PE,DP05_0011PE,DP05_0011PE,DP05_0011PE
DP05_0011PE,DP05_0011PE,DP05_0011PE,DP05_0011PE,DP05_0011PE,DP05_0011PE,DP05_0011PE,DP05_0011PE,DP05_0012PE,DP05_0012PE,DP05_0012PE
DP05_0012PE,DP05_0012PE,DP05_0012PE,DP05_0012PE,DP05_0012PE,DP05_0012PE,DP05_0012PE,DP05_0012PE,DP05_0013PE,DP05_0013PE,DP05_0013PE
DP05_0013PE,DP05_0013PE,DP05_0013PE,DP05_0013PE,DP05_0013PE,DP05_0013PE,DP05_0013PE,DP05_0013PE,DP05_0014PE,DP05_0014PE,DP05_0014PE
DP05_0014PE,DP05_0014PE,DP05_0014PE,DP05_0014PE,DP05_0014PE,DP05_0014PE,DP05_0014PE,DP05_0014PE,DP05_0015PE,DP05_0015PE,DP05_0015PE
DP05_0015PE,DP05_0015PE,DP05_0015PE,DP05_0015PE,DP05_0015PE,DP05_0015PE,DP05_0015PE,DP05_0015PE,DP05_0016PE,DP05_0016PE,DP05_0016PE
DP05_0016PE,DP05_0016PE,DP05_0016PE,DP05_0016PE,DP05_0016PE,DP05_0016PE,DP05_0016PE,DP05_0016PE,DP05_0017PE,DP05_0017PE,DP05_0017PE
DP05_0017E,DP05_0017E,DP05_0017E,DP05_0017E,DP05_0017E,DP05_0017E,DP05_0017E,DP05_0017E,DP05_0018E,DP05_0018E,DP05_0018E
DP05_0018PE,DP05_0018PE,DP05_0018PE,DP05_0018PE,DP05_0018PE,DP05_0018PE,DP05_0018PE,DP05_0018PE,DP05_0021PE,DP05_0021PE,DP05_0021PE
DP05_0019PE,DP05_0019PE,DP05_0019PE,DP05_0019PE,DP05_0019PE,DP05_0019PE,DP05_0019PE,DP05_0019PE,DP05_0022PE,DP05_0022PE,DP05_0022PE
DP05_0020PE,DP05_0020PE,DP05_0020PE,DP05_0020PE,DP05_0020PE,DP05_0020PE,DP05_0020PE,DP05_0020PE,DP05_0023PE,DP05_0023PE,DP05_0023PE
DP05_0021PE,DP05_0021PE,DP05_0021PE,DP05_0021PE,DP05_0021PE,DP05_0021PE,DP05_0021PE,DP05_0021PE,DP05_0024PE,DP05_0024PE,DP05_0024PE
